Accession	Organism	Kingdom	Sequence length	SP cleavage
O00300	401	1	21	Homo sapiens	Metazoa
O00478	584	1	29	Homo sapiens	Metazoa
O00748	559	1	26	Homo sapiens	Metazoa
O14763	440	1	55	Homo sapiens	Metazoa
O43155	660	1	35	Homo sapiens	Metazoa
O43827	346	1	26	Homo sapiens	Metazoa
O43866	347	1	19	Homo sapiens	Metazoa
O60449	1722	1	27	Homo sapiens	Metazoa
O75629	220	1	31	Homo sapiens	Metazoa
O94985	981	1	28	Homo sapiens	Metazoa
O95750	216	1	24	Homo sapiens	Metazoa
O95881	172	1	26	Homo sapiens	Metazoa
P01011	423	1	23	Homo sapiens	Metazoa
P01185	164	1	19	Homo sapiens	Metazoa
P01270	115	1	25	Homo sapiens	Metazoa
P01308	110	1	24	Homo sapiens	Metazoa
P01571	189	1	23	Homo sapiens	Metazoa
P01579	166	1	23	Homo sapiens	Metazoa
P01597	117	1	22	Homo sapiens	Metazoa
P01615	120	1	19	Homo sapiens	Metazoa
P01764	117	1	19	Homo sapiens	Metazoa
P01825	116	1	19	Homo sapiens	Metazoa
P01909	254	1	23	Homo sapiens	Metazoa
P02649	317	1	18	Homo sapiens	Metazoa
P02679	453	1	26	Homo sapiens	Metazoa
P02743	223	1	19	Homo sapiens	Metazoa
P02745	245	1	22	Homo sapiens	Metazoa
P02747	245	1	28	Homo sapiens	Metazoa
P02748	559	1	21	Homo sapiens	Metazoa
P02771	609	1	18	Homo sapiens	Metazoa
P02774	474	1	16	Homo sapiens	Metazoa
P02776	101	1	31	Homo sapiens	Metazoa
P04062	536	1	39	Homo sapiens	Metazoa
P04090	185	1	24	Homo sapiens	Metazoa
P04155	84	1	24	Homo sapiens	Metazoa
P04180	440	1	24	Homo sapiens	Metazoa
P04275	2813	1	22	Homo sapiens	Metazoa
P04844	631	1	22	Homo sapiens	Metazoa
P05451	166	1	22	Homo sapiens	Metazoa
P05452	202	1	21	Homo sapiens	Metazoa
P05814	226	1	15	Homo sapiens	Metazoa
P06028	91	1	19	Homo sapiens	Metazoa
P06756	1048	1	30	Homo sapiens	Metazoa
P06865	529	1	22	Homo sapiens	Metazoa
P07359	652	1	16	Homo sapiens	Metazoa
P07998	156	1	28	Homo sapiens	Metazoa
P08253	660	1	29	Homo sapiens	Metazoa
P08648	1049	1	41	Homo sapiens	Metazoa
P08887	468	1	19	Homo sapiens	Metazoa
P09466	180	1	18	Homo sapiens	Metazoa
P09603	554	1	32	Homo sapiens	Metazoa
P10153	161	1	27	Homo sapiens	Metazoa
P10619	480	1	28	Homo sapiens	Metazoa
P10645	457	1	18	Homo sapiens	Metazoa
P10646	304	1	28	Homo sapiens	Metazoa
P10909	449	1	22	Homo sapiens	Metazoa
P13473	410	1	28	Homo sapiens	Metazoa
P13671	934	1	21	Homo sapiens	Metazoa
P13686	325	1	21	Homo sapiens	Metazoa
P15529	392	1	34	Homo sapiens	Metazoa
P15941	1255	1	23	Homo sapiens	Metazoa
P16112	2530	1	16	Homo sapiens	Metazoa
P16150	400	1	19	Homo sapiens	Metazoa
P17050	411	1	17	Homo sapiens	Metazoa
P18510	177	1	25	Homo sapiens	Metazoa
P19438	455	1	29	Homo sapiens	Metazoa
P19835	753	1	20	Homo sapiens	Metazoa
