Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
Q6YN16	Homo sapiens	Metazoa	418	False	False
Q9UHK6	Homo sapiens	Metazoa	382	False	False
A3KMH1	Homo sapiens	Metazoa	1905	False	False
O75874	Homo sapiens	Metazoa	414	False	False
Q9NTK1	Homo sapiens	Metazoa	212	False	False
Q9BTZ2	Homo sapiens	Metazoa	278	False	False
O00628	Homo sapiens	Metazoa	323	False	False
P50542	Homo sapiens	Metazoa	639	False	False
Q99489	Homo sapiens	Metazoa	341	False	False
Q9HCM9	Homo sapiens	Metazoa	518	False	False
Q13227	Homo sapiens	Metazoa	327	False	False
P49419	Homo sapiens	Metazoa	539	False	False
Q9Y3I1	Homo sapiens	Metazoa	522	False	False
P22736	Homo sapiens	Metazoa	598	False	False
Q9H773	Homo sapiens	Metazoa	170	False	False
P14920	Homo sapiens	Metazoa	347	False	False
O95822	Homo sapiens	Metazoa	493	False	False
P30044	Homo sapiens	Metazoa	214	False	False
P07954	Homo sapiens	Metazoa	510	False	False
P21549	Homo sapiens	Metazoa	392	False	False
Q9BY49	Homo sapiens	Metazoa	303	False	False
Q9Y2Q3	Homo sapiens	Metazoa	226	False	False
Q9UJ83	Homo sapiens	Metazoa	578	False	False
C9JRZ8	Homo sapiens	Metazoa	316	False	False
Q15067	Homo sapiens	Metazoa	660	False	False
Q8N9L9	Homo sapiens	Metazoa	421	False	False
Q9BXS1	Homo sapiens	Metazoa	227	False	False
Q6P587	Homo sapiens	Metazoa	221	False	False
P09110	Homo sapiens	Metazoa	424	False	False
Q99424	Homo sapiens	Metazoa	681	False	False
Q9Y4F3	Homo sapiens	Metazoa	1742	False	False
P36639	Homo sapiens	Metazoa	156	False	False
O94925	Homo sapiens	Metazoa	669	False	False
Q02790	Homo sapiens	Metazoa	459	False	False
P52306	Homo sapiens	Metazoa	607	False	False
Q8N3J2	Homo sapiens	Metazoa	472	False	False
O14832	Homo sapiens	Metazoa	338	False	False
Q2T9J0	Homo sapiens	Metazoa	566	False	False
Q9NYQ3	Homo sapiens	Metazoa	351	False	False
Q9P0Z9	Homo sapiens	Metazoa	390	False	False
Q16595	Homo sapiens	Metazoa	210	False	False
Q9NR28	Homo sapiens	Metazoa	239	False	False
Q9UMS0	Homo sapiens	Metazoa	254	False	False
O43933	Homo sapiens	Metazoa	1283	False	False
P34913	Homo sapiens	Metazoa	555	False	False
P00558	Homo sapiens	Metazoa	417	False	False
Q8IZ52	Homo sapiens	Metazoa	775	False	False
P59103	Homo sapiens	Metazoa	153	False	False
P61981	Homo sapiens	Metazoa	247	False	False
O15297	Homo sapiens	Metazoa	605	False	False
O60678	Homo sapiens	Metazoa	531	False	False
O60921	Homo sapiens	Metazoa	280	False	False
P09884	Homo sapiens	Metazoa	1462	False	False
P11441	Homo sapiens	Metazoa	157	False	False
P14678	Homo sapiens	Metazoa	240	False	False
P62304	Homo sapiens	Metazoa	92	False	False
P62314	Homo sapiens	Metazoa	119	False	False
Q504T8	Homo sapiens	Metazoa	468	False	False
Q8IXP5	Homo sapiens	Metazoa	288	False	False
Q8N4J0	Homo sapiens	Metazoa	409	False	False
Q8WUJ0	Homo sapiens	Metazoa	223	False	False
Q8WUQ7	Homo sapiens	Metazoa	758	False	False
Q9BVJ7	Homo sapiens	Metazoa	150	False	False
Q9C0C6	Homo sapiens	Metazoa	399	False	False
Q9NVP2	Homo sapiens	Metazoa	202	False	False
Q9Y3C4	Homo sapiens	Metazoa	175	False	False
Q86WA8	Homo sapiens	Metazoa	852	False	False
P04040	Homo sapiens	Metazoa	527	False	False
Q9UJM8	Homo sapiens	Metazoa	370	False	False
A6ND36	Homo sapiens	Metazoa	823	False	False
O14802	Homo sapiens	Metazoa	1390	False	False
O75920	Homo sapiens	Metazoa	110	False	False
P20941	Homo sapiens	Metazoa	246	False	False
Q6VN20	Homo sapiens	Metazoa	620	False	False
Q8TC84	Homo sapiens	Metazoa	345	False	False
Q99543	Homo sapiens	Metazoa	621	False	False
Q9GZX7	Homo sapiens	Metazoa	198	False	False
Q9H0Z9	Homo sapiens	Metazoa	239	False	False
Q9NTX7	Homo sapiens	Metazoa	359	False	False
Q9NVM4	Homo sapiens	Metazoa	692	False	False
Q9UNI6	Homo sapiens	Metazoa	340	False	False
Q15311	Homo sapiens	Metazoa	655	False	False
O14641	Homo sapiens	Metazoa	736	False	False
P55210	Homo sapiens	Metazoa	303	False	False
P62318	Homo sapiens	Metazoa	126	False	False
Q13642	Homo sapiens	Metazoa	323	False	False
Q5VWP3	Homo sapiens	Metazoa	993	False	False
Q96A61	Homo sapiens	Metazoa	297	False	False
Q9BQ70	Homo sapiens	Metazoa	676	False	False
Q9H777	Homo sapiens	Metazoa	363	False	False
Q9NR19	Homo sapiens	Metazoa	701	False	False
Q9NVD3	Homo sapiens	Metazoa	440	False	False
O14734	Homo sapiens	Metazoa	319	False	False
O75521	Homo sapiens	Metazoa	394	False	False
Q8IV20	Homo sapiens	Metazoa	430	False	False
O15516	Homo sapiens	Metazoa	846	False	False
P62306	Homo sapiens	Metazoa	86	False	False
Q86TI2	Homo sapiens	Metazoa	863	False	False
Q8IYM2	Homo sapiens	Metazoa	578	False	False
Q9NXV2	Homo sapiens	Metazoa	234	False	False
Q9UK32	Homo sapiens	Metazoa	745	False	False
O00429	Homo sapiens	Metazoa	736	False	False
Q9GZY8	Homo sapiens	Metazoa	342	False	False
A4D2B0	Homo sapiens	Metazoa	266	False	False
O43324	Homo sapiens	Metazoa	174	False	False
O43665	Homo sapiens	Metazoa	181	False	False
O75912	Homo sapiens	Metazoa	1057	False	False
P12268	Homo sapiens	Metazoa	514	False	False
P62308	Homo sapiens	Metazoa	76	False	False
P62316	Homo sapiens	Metazoa	118	False	False
Q13228	Homo sapiens	Metazoa	472	False	False
Q16236	Homo sapiens	Metazoa	605	False	False
Q4J6C6	Homo sapiens	Metazoa	727	False	False
Q53FT3	Homo sapiens	Metazoa	197	False	False
Q8IXQ6	Homo sapiens	Metazoa	854	False	False
Q8WWH5	Homo sapiens	Metazoa	349	False	False
Q9H790	Homo sapiens	Metazoa	373	False	False
Q9NW08	Homo sapiens	Metazoa	1133	False	False
Q969V5	Homo sapiens	Metazoa	352	False	True
Q7Z434	Homo sapiens	Metazoa	540	False	False
O14862	Homo sapiens	Metazoa	343	False	False
Q9Y2G2	Homo sapiens	Metazoa	537	False	False
Q15046	Homo sapiens	Metazoa	597	False	False
P13051	Homo sapiens	Metazoa	313	False	False
P51530	Homo sapiens	Metazoa	1060	False	False
Q96BP2	Homo sapiens	Metazoa	118	False	False
Q9H611	Homo sapiens	Metazoa	641	False	False
Q13315	Homo sapiens	Metazoa	3056	False	False
P33316	Homo sapiens	Metazoa	252	False	False
Q13686	Homo sapiens	Metazoa	389	False	False
Q9NS18	Homo sapiens	Metazoa	164	False	False
P78549	Homo sapiens	Metazoa	304	False	False
Q9NXA8	Homo sapiens	Metazoa	310	False	False
P49916	Homo sapiens	Metazoa	1009	False	False
Q8TAE8	Homo sapiens	Metazoa	222	False	False
Q9GZT3	Homo sapiens	Metazoa	109	False	False
Q02218	Homo sapiens	Metazoa	1023	False	False
Q7L7V1	Homo sapiens	Metazoa	743	False	False
Q9HD34	Homo sapiens	Metazoa	91	False	False
Q9Y606	Homo sapiens	Metazoa	427	False	False
Q8IW19	Homo sapiens	Metazoa	511	False	False
Q6NZI2	Homo sapiens	Metazoa	390	False	False
Q9BQG2	Homo sapiens	Metazoa	462	False	False
Q49B96	Homo sapiens	Metazoa	90	False	False
Q9NZH6	Homo sapiens	Metazoa	218	False	False
O15379	Homo sapiens	Metazoa	428	False	False
O60260	Homo sapiens	Metazoa	465	False	False
Q12904	Homo sapiens	Metazoa	312	False	False
Q9C000	Homo sapiens	Metazoa	1473	False	False
P54105	Homo sapiens	Metazoa	237	False	False
P61970	Homo sapiens	Metazoa	127	False	False
P62266	Homo sapiens	Metazoa	143	False	False
P01100	Homo sapiens	Metazoa	380	False	False
Q07098	Arabidopsis thaliana	Viridiplantae	306	False	False
P56192	Homo sapiens	Metazoa	900	False	False
P62857	Homo sapiens	Metazoa	69	False	False
O15160	Homo sapiens	Metazoa	346	False	False
Q8S944	Arabidopsis thaliana	Viridiplantae	808	False	False
Q9FWR4	Arabidopsis thaliana	Viridiplantae	213	False	False
Q6GPH4	Homo sapiens	Metazoa	301	False	False
Q9BV79	Homo sapiens	Metazoa	373	False	False
Q9H7Z6	Homo sapiens	Metazoa	458	False	False
Q15831	Homo sapiens	Metazoa	433	False	False
Q3MIT2	Homo sapiens	Metazoa	529	False	False
Q9P286	Homo sapiens	Metazoa	719	False	False
P09211	Homo sapiens	Metazoa	210	False	False
P53370	Homo sapiens	Metazoa	316	False	False
Q14653	Homo sapiens	Metazoa	427	False	False
Q7Z6Z7	Homo sapiens	Metazoa	4374	False	False
Q96Q11	Homo sapiens	Metazoa	434	False	False
Q99717	Homo sapiens	Metazoa	465	False	False
Q9H1K1	Homo sapiens	Metazoa	167	False	False
Q9UHV9	Homo sapiens	Metazoa	154	False	False
Q9UJ68	Homo sapiens	Metazoa	235	False	False
P52759	Rattus norvegicus	Metazoa	137	False	False
P70473	Rattus norvegicus	Metazoa	382	False	False
O95568	Homo sapiens	Metazoa	372	False	False
P78527	Homo sapiens	Metazoa	4128	False	False
Q6PI26	Homo sapiens	Metazoa	577	False	False
Q86US8	Homo sapiens	Metazoa	1419	False	False
Q92841	Homo sapiens	Metazoa	729	False	False
O15164	Homo sapiens	Metazoa	1050	False	False
O94763	Homo sapiens	Metazoa	535	False	False
P19793	Homo sapiens	Metazoa	462	False	False
P22314	Homo sapiens	Metazoa	1058	False	False
P49789	Homo sapiens	Metazoa	147	False	False
P53778	Homo sapiens	Metazoa	367	False	False
Q99417	Homo sapiens	Metazoa	103	False	False
Q99807	Homo sapiens	Metazoa	217	False	False
Q9NX63	Homo sapiens	Metazoa	227	False	False
Q9ULZ2	Homo sapiens	Metazoa	295	False	False
O60829	Homo sapiens	Metazoa	102	False	False
