Accession	Organism	Kingdom	Sequence length	transmembrane_term
Q6YN16	418	Homo sapiens	Metazoa	False
Q9UHK6	382	Homo sapiens	Metazoa	False
A3KMH1	1905	Homo sapiens	Metazoa	False
O75874	414	Homo sapiens	Metazoa	False
Q9NTK1	212	Homo sapiens	Metazoa	False
Q9BTZ2	278	Homo sapiens	Metazoa	False
O00628	323	Homo sapiens	Metazoa	False
P50542	639	Homo sapiens	Metazoa	False
Q99489	341	Homo sapiens	Metazoa	False
Q9HCM9	518	Homo sapiens	Metazoa	False
Q13227	327	Homo sapiens	Metazoa	False
P49419	539	Homo sapiens	Metazoa	False
Q9Y3I1	522	Homo sapiens	Metazoa	False
P22736	598	Homo sapiens	Metazoa	False
Q9H773	170	Homo sapiens	Metazoa	False
P14920	347	Homo sapiens	Metazoa	False
O95822	493	Homo sapiens	Metazoa	False
P30044	214	Homo sapiens	Metazoa	False
P07954	510	Homo sapiens	Metazoa	False
P21549	392	Homo sapiens	Metazoa	False
Q9BY49	303	Homo sapiens	Metazoa	False
Q9Y2Q3	226	Homo sapiens	Metazoa	False
Q9UJ83	578	Homo sapiens	Metazoa	False
C9JRZ8	316	Homo sapiens	Metazoa	False
Q15067	660	Homo sapiens	Metazoa	False
Q8N9L9	421	Homo sapiens	Metazoa	False
Q9BXS1	227	Homo sapiens	Metazoa	False
Q6P587	221	Homo sapiens	Metazoa	False
P09110	424	Homo sapiens	Metazoa	False
Q99424	681	Homo sapiens	Metazoa	False
Q9Y4F3	1742	Homo sapiens	Metazoa	False
P36639	156	Homo sapiens	Metazoa	False
O94925	669	Homo sapiens	Metazoa	False
Q02790	459	Homo sapiens	Metazoa	False
P52306	607	Homo sapiens	Metazoa	False
Q8N3J2	472	Homo sapiens	Metazoa	False
O14832	338	Homo sapiens	Metazoa	False
Q2T9J0	566	Homo sapiens	Metazoa	False
Q9NYQ3	351	Homo sapiens	Metazoa	False
Q9P0Z9	390	Homo sapiens	Metazoa	False
