Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
O00300	Homo sapiens	Metazoa	401	21	Null
O00478	Homo sapiens	Metazoa	584	29	Null
O00748	Homo sapiens	Metazoa	559	26	Null
O14763	Homo sapiens	Metazoa	440	55	Null
O43155	Homo sapiens	Metazoa	660	35	Null
O43827	Homo sapiens	Metazoa	346	26	Null
O43866	Homo sapiens	Metazoa	347	19	Null
O60449	Homo sapiens	Metazoa	1722	27	Null
O75629	Homo sapiens	Metazoa	220	31	Null
O94985	Homo sapiens	Metazoa	981	28	Null
O95750	Homo sapiens	Metazoa	216	24	Null
O95881	Homo sapiens	Metazoa	172	26	Null
P01011	Homo sapiens	Metazoa	423	23	Null
P01185	Homo sapiens	Metazoa	164	19	Null
P01270	Homo sapiens	Metazoa	115	25	Null
P01308	Homo sapiens	Metazoa	110	24	Null
P01571	Homo sapiens	Metazoa	189	23	Null
P01579	Homo sapiens	Metazoa	166	23	Null
P01597	Homo sapiens	Metazoa	117	22	Null
P01615	Homo sapiens	Metazoa	120	19	Null
P01764	Homo sapiens	Metazoa	117	19	Null
P01825	Homo sapiens	Metazoa	116	19	Null
P01909	Homo sapiens	Metazoa	254	23	Null
P02649	Homo sapiens	Metazoa	317	18	Null
P02679	Homo sapiens	Metazoa	453	26	Null
P02743	Homo sapiens	Metazoa	223	19	Null
P02745	Homo sapiens	Metazoa	245	22	Null
P02747	Homo sapiens	Metazoa	245	28	Null
P02748	Homo sapiens	Metazoa	559	21	Null
P02771	Homo sapiens	Metazoa	609	18	Null
P02774	Homo sapiens	Metazoa	474	16	Null
P02776	Homo sapiens	Metazoa	101	31	Null
P04062	Homo sapiens	Metazoa	536	39	Null
P04090	Homo sapiens	Metazoa	185	24	Null
P04155	Homo sapiens	Metazoa	84	24	Null
P04180	Homo sapiens	Metazoa	440	24	Null
P04275	Homo sapiens	Metazoa	2813	22	Null
P04844	Homo sapiens	Metazoa	631	22	Null
P05451	Homo sapiens	Metazoa	166	22	Null
P05452	Homo sapiens	Metazoa	202	21	Null
P05814	Homo sapiens	Metazoa	226	15	Null
P06028	Homo sapiens	Metazoa	91	19	Null
P06756	Homo sapiens	Metazoa	1048	30	Null
P06865	Homo sapiens	Metazoa	529	22	Null
P07359	Homo sapiens	Metazoa	652	16	Null
P07998	Homo sapiens	Metazoa	156	28	Null
P08253	Homo sapiens	Metazoa	660	29	Null
P08648	Homo sapiens	Metazoa	1049	41	Null
P08887	Homo sapiens	Metazoa	468	19	Null
P09466	Homo sapiens	Metazoa	180	18	Null
